year,age_group,population_sample_count,total_sample_count,age_group_share,unit,data_scope,source,source_file,note
2016,90-94岁,1902,1158019,0.001642460098,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2016,95岁以上,413,1158019,0.0003566435438,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,0-4岁,68313,1145246,0.05964919327,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,5-9岁,63314,1145246,0.05528419222,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,10-14岁,60727,1145246,0.05302528889,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,15-19岁,59251,1145246,0.05173648282,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,15-29岁,233137,1145246,0.2035693641,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,20-24岁,73185,1145246,0.06390330112,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,20-29岁,173886,1145246,0.1518328813,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,25-29岁,100701,1145246,0.08792958019,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,30-34岁,88959,1145246,0.07767676115,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,35-39岁,82553,1145246,0.07208320308,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,40-44岁,87713,1145246,0.07658878529,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,45-49岁,105476,1145246,0.09209899009,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,50-54岁,96760,1145246,0.08448839813,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,55-59岁,59823,1145246,0.05223593883,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,60-64岁,68044,1145246,0.05941430924,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,65-69岁,51552,1145246,0.04501390968,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,70-74岁,32590,1145246,0.02845676824,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,75-79岁,22553,1145246,0.01969271231,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,80-84岁,14708,1145246,0.01284265564,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,85-89岁,6606,1145246,0.005768193035,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,90-94岁,1964,1145246,0.001714915398,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2017,95岁以上,455,1145246,0.0003972945551,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,0-4岁,67393,1144648,0.05887661534,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,5-9岁,63322,1144648,0.05532006346,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,10-14岁,62248,1144648,0.05438178374,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,15-19岁,58258,1144648,0.05089599597,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,15-29岁,219285,1144648,0.1915741783,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,20-24岁,68050,1144648,0.05945059092,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
2018,20-29岁,161027,1144648,0.1406781823,人,人口抽样调查样本数据,人口抽样调查样本数据_年度数据.xlsx,data/raw/official_statistics/人口抽样调查样本数据_年度数据.xlsx,该数据为人口抽样调查样本数据，适合观察年龄结构占比变化，不代表全国实际人口规模。
